Log HR Apixaban Stroke,Log HR Apixaban MI,Log HR Apixaban Bleed,Log HR Apixaban ICH,Log HR Apixaban Death,Log HR Apixaban SE,Log HR Apixaban TIA,Log HR Dabigatran Stroke,Log HR Dabigatran MI,Log HR Dabigatran Bleed,Log HR Dabigatran ICH,Log HR Dabigatran Death,Log HR Dabigatran SE,Log HR Dabigatran TIA,Log HR Edoxaban Stroke,Log HR Edoxaban MI,Log HR Edoxaban Bleed,Log HR Edoxaban ICH,Log HR Edoxaban Death,Log HR Edoxaban SE,Log HR Edoxaban TIA
-0.1518,0.1051,-0.2258,-0.6305,-0.1531,-0.6304,-3.138,-0.2429,0.4514,0.1415,-0.8022,-0.03631,-0.2374,0.8707,-0.06581,0.07153,-0.1586,-0.8624,-0.02981,-0.2894,0.4323
-0.1518,0.1051,-0.2258,-0.4638,-0.1531,-0.6304,-1.286,-0.2429,0.6,0.1465,-0.8022,-0.03631,-0.2032,0.04063,-0.06581,-0.3039,-0.1586,-0.8624,-0.02981,-0.2894,0.6187
-0.1518,0.1051,-0.2258,-0.4638,-0.1531,-0.4225,-0.9126,-0.2429,0.6,0.1465,-0.8215,-0.03631,-0.2032,-0.1255,-0.06581,-0.3039,-0.1586,-0.8624,0.06544,-0.2894,1.231
-0.1972,0.1051,-0.2258,-0.4638,-0.03569,-0.4225,-0.9126,-0.1949,0.6,0.1465,-0.8215,-0.03631,-0.2032,0.4457,-0.06581,-0.2246,-0.1586,-0.6592,0.06544,-1.096,-0.307
-0.1972,0.1051,-0.2293,-0.4638,-0.1384,-0.4225,-0.9126,-0.238,0.6,0.1465,-0.8215,-0.03631,-0.3123,1.629,-0.06581,-0.2246,-0.1586,-0.6592,0.06544,-0.6401,-0.2373
-0.1972,0.1051,-0.2293,-0.4638,-0.1384,-0.4225,-0.9126,-0.238,0.591,0.1465,-0.8215,-0.03631,-0.3961,-0.6488,-0.06581,-0.2246,-0.1586,-0.6592,0.06544,-0.6401,0.9892
-0.1643,0.1051,-0.2293,-0.8186,-0.1384,-0.4225,-0.9126,-0.238,0.591,0.1465,-0.8215,-0.03631,-0.3961,0.2132,0.06087,-0.2246,-0.1586,-0.6592,-0.03165,-0.6401,0.4901
-0.1643,0.1051,-0.1035,-0.7477,-0.05926,-0.4225,-0.9126,-0.238,0.591,0.1465,-0.8215,-0.03631,-0.3961,-0.1296,0.06087,-0.2246,-0.1586,-0.6592,0.003506,-0.6401,0.06921
-0.2016,-0.1895,-0.1035,-0.7477,-0.05926,-0.4225,0.09434,-0.1039,0.5534,0.1465,-0.8215,-0.03237,-0.3961,0.4928,0.06087,-0.2246,-0.1586,-0.6592,0.003506,-0.6401,-3.024
-0.09372,-0.1465,-0.1035,-0.7477,-0.05926,-0.3134,-0.1928,-0.1039,0.5534,0.1858,-0.9984,-0.03237,-0.3961,0.7892,0.01839,-0.2246,-0.1644,-0.6592,0.003506,-0.6401,-4.029
-0.09372,0.1224,-0.1035,-0.7477,-0.0668,-0.3134,-0.1928,-0.1039,0.6206,0.2518,-0.9515,-0.03237,-0.3961,-0.4153,0.01839,-0.2246,-0.1217,-0.5772,0.003506,-0.6401,-0.1941
-0.1225,-0.08312,-0.3041,-0.6724,-0.0668,-0.3134,-0.1928,-0.1039,0.194,0.2518,-1.172,-0.03237,-0.3961,0.02158,0.01839,-0.2246,-0.1217,-0.9542,0.003506,-0.6835,-2.161
-0.1225,-0.08312,-0.2735,-0.7136,-0.0668,-0.4391,-0.1928,-0.2589,0.194,0.1564,-1.037,-0.03237,-0.4885,-0.9246,0.07315,-0.2246,-0.1363,-0.9542,0.003506,-0.6835,0.2248
-0.1721,-0.1282,-0.2735,-0.7136,-0.01495,-0.4391,-0.7335,-0.2589,0.194,0.1564,-1.037,-0.03237,-0.4885,0.4184,0.07315,-0.2897,-0.1363,-0.7829,-0.1029,-1.294,0.05161
-0.1721,-0.1282,-0.2641,-0.6257,-0.05393,-0.4937,-1.11,-0.2099,0.194,0.1564,-0.8199,-0.03237,-0.4885,-0.4468,0.07315,-0.2897,-0.1363,-0.7829,-0.1029,-1.294,0.5018
-0.1721,-0.1282,-0.2549,-0.5877,-0.05393,-0.4937,-1.11,-0.2099,0.194,0.1564,-0.8199,-0.03237,-0.4885,-1.028,0.07315,-0.2897,-0.1158,-0.6146,-0.1029,-1.294,-1.921
-0.1721,-0.1282,-0.2654,-0.5877,-0.05393,-0.4937,-0.2698,-0.2099,0.194,0.06064,-0.9155,-0.02779,-0.4885,-1.668,0.07315,-0.2897,-0.1158,-0.7344,-0.02328,-1.294,-0.8914
-0.2688,-0.1282,-0.2654,-0.5877,-0.05393,-0.4947,0.7931,-0.2099,0.194,0.2713,-1.204,-0.02553,-0.4132,-2.239,0.07315,-0.2897,-0.1489,-0.6303,-0.07122,-1.294,-0.4157
-0.2688,-0.1282,-0.2766,-0.5877,-0.05461,-0.4947,-0.0483,-0.2099,0.194,0.2713,-1.126,-0.09712,-0.4132,0.938,0.07315,-0.2897,-0.1489,-0.6303,-0.07122,-1.294,0.763
-0.2455,-0.1754,-0.2766,-0.5942,-0.193,-0.4947,-0.0483,-0.1516,0.194,0.08138,-0.9455,-0.09712,-0.4132,1.121,0.07315,-0.2897,-0.1489,-0.6303,-0.07122,-1.294,0.4645
